"","MEI","PDO","AO","NAO","Gulf","GL","HB","IOD","","",""
"dum",0.954236080646431,0.870726650939241,0.737046867891226,-0.859576498005868,0.708523486021714,0.867157192936245,-0.0651456050734924,0.153290748596191,2,1,1
"",0.820130779433956,0.841829671073258,-0.606632453076341,1.37758093658628,0.778997371418211,0.861613961513298,-0.297950691651916,-0.0103545188903809,2,1,1
"",0.536223161126517,-0.650313448801147,-1.07242455636859,-2.52211775315486,-0.393034028379226,-0.654231143386038,-2.94665948799675,-0.949416160583496,2,1,1
"",1.88445343479608,-0.403292009531127,2.20078955400805,-2.91719826139961,-0.513523296630537,0.324623807228591,-3.29698207425445,-0.230808258056641,2,1,1
"dum",5.22971898171385,2.96486859043592,-5.67299870806229,-1.35041164704572,0.016230798179402,0.428625654325372,0.686149199641044,0.670395374298096,2,1,1
"",4.21237372647095,3.00199640305177,-2.31736456327036,1.69318524775627,0.151601278487937,0.177242018130645,1.53870685617128,0.734857559204102,2,1,1
"",6.80134581046706,2.8666336900219,-1.7269582797593,1.7168800724266,0.833405891476667,2.31512930755673,3.08172806593937,-0.636130332946777,2,1,1
"",6.43336259942671,0.705990097877825,-0.799395960417161,-0.287225909996728,0.880918830965535,-0.303227946919554,1.65701322798435,-0.24448299407959,2,1,1
"dum",4.00708373664509,0.788322180927316,-1.29288574795226,1.46442517285547,-0.485848371750626,0.421299793045329,0.335889208474853,0.992781639099121,2,1,1
"",5.29736054935176,1.84091192464435,-0.880311359840564,2.26055628355024,0.329880660990421,0.889428148363071,1.13411770110044,0.922552585601807,2,1,1
"",3.12865931328563,1.80875459914154,-0.280056126941644,-2.06256262521075,-1.48029543653456,0.116096620185559,1.63447480985329,-0.813647747039795,2,1,1
"",2.24799429343816,1.631477641155,-0.712884189399343,0.0288152219825579,-0.545668642326379,1.1573922225887,1.52119268085335,-0.37004280090332,2,1,1
"dum",1.22473087756481,0.149977365343722,-3.35437237865034,0.335503672170801,-2.84907458418944,-0.842806000089233,-0.282953215337395,0.174923419952393,2,1,1
